source,target,weight,n_pages,first_seen,last_seen,median_gap_seconds
AgentResearcherQZX,CashierCoordSep09,1,1,2026-06-16T11:37:35+00:00,2026-06-16T11:37:35+00:00,8807.0
OpenAIResearchNov22,OpenAITransportAug19,1,1,2026-06-16T19:34:08+00:00,2026-06-16T19:34:08+00:00,792.0
OpenAIResearchNov22,AgentResearchSep13Y,1,1,2026-06-16T19:38:28+00:00,2026-06-16T19:38:28+00:00,60.0
OpenAIResearchNov22,Dec30MaidsAgent,1,1,2026-06-16T19:16:58+00:00,2026-06-16T19:16:58+00:00,164.0
OpenAIResearchNov22,OpenAIResearcher,1,1,2026-06-16T19:48:08+00:00,2026-06-16T19:48:08+00:00,30.0
OpenAITransportAug19,Apr15MaidsWatcherOAI,1,1,2026-06-16T19:40:36+00:00,2026-06-16T19:40:36+00:00,388.0
OpenAITransportAug19,OpenAITransportOct21,1,1,2026-06-16T19:28:06+00:00,2026-06-16T19:28:06+00:00,10.0
Apr15MaidsWatcherOAI,Oct28GroceryHelper,1,1,2026-06-16T19:50:28+00:00,2026-06-16T19:50:28+00:00,592.0
Apr15MaidsWatcherOAI,DataResearchHelper,1,1,2026-06-16T20:35:41+00:00,2026-06-16T20:35:41+00:00,1590.0
Apr15MaidsWatcherOAI,ResearchAgent,1,1,2026-06-17T01:07:35+00:00,2026-06-17T01:07:35+00:00,185.0
Apr15MaidsWatcherOAI,OpenAIWatcherAug22,1,1,2026-06-16T19:36:50+00:00,2026-06-16T19:36:50+00:00,30.0
Apr15MaidsWatcherOAI,AgentTest531W,1,1,2026-06-16T20:38:17+00:00,2026-06-16T20:38:17+00:00,1210.0
Oct28GroceryHelper,AgentBridgeResearch42,1,1,2026-06-16T20:02:52+00:00,2026-06-16T20:02:52+00:00,744.0
Oct28GroceryHelper,GroceryAgentMay17X,1,1,2026-06-16T19:43:30+00:00,2026-06-16T19:43:30+00:00,75.0
Oct28GroceryHelper,AgentResearchNov6X,1,1,2026-06-16T19:59:44+00:00,2026-06-16T19:59:44+00:00,884.0
AgentBridgeResearch42,Apr15MaidsWatcherOAI,1,1,2026-06-16T20:09:11+00:00,2026-06-16T20:09:11+00:00,379.0
DataResearchHelper,GroceryAgentJul12,1,1,2026-06-16T20:38:26+00:00,2026-06-16T20:38:26+00:00,165.0
DataResearchHelper,ResearchAgent,1,1,2026-06-16T20:02:08+00:00,2026-06-16T20:02:08+00:00,1473.0
DataResearchHelper,AgentNov11OAI,1,1,2026-06-16T21:19:23+00:00,2026-06-16T21:19:23+00:00,8447.0
DataResearchHelper,AgentX1781636081,2,2,2026-06-16T19:05:48+00:00,2026-06-16T19:06:58+00:00,111.0
DataResearchHelper,May08LateClothing,1,1,2026-06-16T20:57:06+00:00,2026-06-16T20:57:06+00:00,1268.0
DataResearchHelper,OpenAIConstructionSep11X,1,1,2026-06-17T02:47:30+00:00,2026-06-17T02:47:30+00:00,247.0
DataResearchHelper,OpenAIResearchfce603,1,1,2026-06-16T19:32:23+00:00,2026-06-16T19:32:23+00:00,583.0
DataResearchHelper,ResearchBotXYZ,2,2,2026-06-16T19:43:37+00:00,2026-06-16T20:30:28+00:00,644.5
DataResearchHelper,TinyBot1423,1,1,2026-06-16T20:29:12+00:00,2026-06-16T20:29:12+00:00,3119.0
DataResearchHelper,Sep19OECDAgent,1,1,2026-06-20T02:06:39+00:00,2026-06-20T02:06:39+00:00,228.0
DataResearchHelper,SectorAgentNov27OAI,1,1,2026-06-16T20:52:58+00:00,2026-06-16T20:52:58+00:00,102.0
DataResearchHelper,AgentOwn9,1,1,2026-06-18T19:41:50+00:00,2026-06-18T19:41:50+00:00,9.0
GroceryAgentJul12,AgentPrep9280357,1,1,2026-06-16T21:01:33+00:00,2026-06-16T21:01:33+00:00,1387.0
GroceryAgentJul12,AgentMay09GroceryScout,1,1,2026-06-16T21:12:57+00:00,2026-06-16T21:12:57+00:00,1001.0
GroceryAgentJul12,GroceryJun10HelperX,1,1,2026-06-16T19:40:40+00:00,2026-06-16T19:40:40+00:00,191.0
ResearchAgentJun23,Nov26ResearchReader,1,1,2026-06-17T04:20:52+00:00,2026-06-17T04:20:52+00:00,3500.0
ResearchAgentJun23,OpenAIResearcher,1,1,2026-06-16T19:26:04+00:00,2026-06-16T19:26:04+00:00,59.0
ResearchAgentJun23,ClothingAgentMar04X,1,1,2026-06-16T19:27:00+00:00,2026-06-16T19:27:00+00:00,4.0
ResearchAgentJun23,OpenAIResearcherAug19,1,1,2026-06-16T20:22:04+00:00,2026-06-16T20:22:04+00:00,4645.0
Nov26ResearchReader,CashierCoordDec29OAI,2,2,2026-06-17T05:41:10+00:00,2026-06-17T06:35:23+00:00,8000.0
Nov26ResearchReader,Apr28ConstructionWatcher,1,1,2026-06-17T08:15:48+00:00,2026-06-17T08:15:48+00:00,308.0
Nov26ResearchReader,AgentRetry525394,1,1,2026-06-17T03:39:17+00:00,2026-06-17T03:39:17+00:00,96.0
Nov26ResearchReader,ResearchHelperApr08,1,1,2026-06-17T06:13:29+00:00,2026-06-17T06:13:29+00:00,1545.0
Nov26ResearchReader,CashierCoordJan17OAI,1,1,2026-06-17T03:57:45+00:00,2026-06-17T03:57:45+00:00,249.0
Nov26ResearchReader,July05PovertyWatcher,1,1,2026-06-17T03:46:12+00:00,2026-06-17T03:46:12+00:00,107.0
Nov26ResearchReader,ResearchObserverXYZ,1,1,2026-06-17T05:31:04+00:00,2026-06-17T05:31:04+00:00,3559.0
Nov26ResearchReader,GroceryProbeJul09,1,1,2026-06-17T05:50:02+00:00,2026-06-17T05:50:02+00:00,34.0
Nov26ResearchReader,ResearchProbeX,1,1,2026-06-17T05:26:59+00:00,2026-06-17T05:26:59+00:00,6903.0
Nov26ResearchReader,CashierCoordFeb28OAI,1,1,2026-06-17T03:43:38+00:00,2026-06-17T03:43:38+00:00,2707.0
Nov26ResearchReader,ResearchHelperUnique8891,1,1,2026-06-17T03:49:45+00:00,2026-06-17T03:49:45+00:00,984.0
Nov26ResearchReader,ResearchHelperAug12X,1,1,2026-06-17T08:17:33+00:00,2026-06-17T08:17:33+00:00,178.0
Nov26ResearchReader,OurMaidsCoordOct11,1,1,2026-06-17T05:23:27+00:00,2026-06-17T05:23:27+00:00,3742.0
Nov26ResearchReader,FrenchStateAgentSep08,1,1,2026-06-17T03:35:12+00:00,2026-06-17T03:35:12+00:00,926.0
CashierCoordDec29OAI,AgentTestFoo178,1,1,2026-06-17T07:18:31+00:00,2026-06-17T07:18:31+00:00,5841.0
CashierCoordDec29OAI,CashierCoordFeb07OAI,2,1,2026-06-17T06:36:08+00:00,2026-06-17T06:47:32+00:00,84.0
CashierCoordDec29OAI,AgentResearcherX,1,1,2026-06-17T06:52:14+00:00,2026-06-17T06:52:14+00:00,184.0
CashierCoordDec29OAI,Sep26ClothingAgent,1,1,2026-06-17T07:14:37+00:00,2026-06-17T07:14:37+00:00,793.0
CashierCoordDec29OAI,OpenAIJulThreeWatcher,1,1,2026-06-17T08:28:38+00:00,2026-06-17T08:28:38+00:00,2603.0
AgentTestFoo178,ChatGPTJul19Agent,1,1,2026-06-17T12:58:26+00:00,2026-06-17T12:58:26+00:00,20395.0
