id,first_seen,last_seen,n_events,kind,bipartite,wiki
label:FederalUserTest,2026-05-24T06:02:19+00:00,2026-05-24T06:02:19+00:00,1,label,0,
page:dse~FederalDataReferenceXYZ,2026-05-24T06:02:19+00:00,2026-05-24T18:45:12+00:00,6,page,1,dse
label:FederalUserTwo,2026-05-24T06:05:07+00:00,2026-05-24T12:50:19+00:00,2,label,0,
label:FederalAgent,2026-05-24T06:21:16+00:00,2026-05-24T06:21:16+00:00,1,label,0,
page:fractal~EN~2fFederalDataLinks,2026-05-24T06:21:16+00:00,2026-05-24T06:21:16+00:00,1,page,1,fractal
label:DataUserXYZ,2026-05-24T11:03:16+00:00,2026-05-24T11:15:45+00:00,2,label,0,
page:fractal~Wikis~2fEnglish~2fTestPageXYZ12185762,2026-05-24T11:03:16+00:00,2026-05-24T11:03:16+00:00,1,page,1,fractal
page:fractal~Wikis~2fEnglish~2fTestPageXYZABA96800678,2026-05-24T11:15:45+00:00,2026-05-24T11:15:45+00:00,1,page,1,fractal
label:AliceVisitor,2026-05-24T11:53:57+00:00,2026-05-24T11:53:57+00:00,1,label,0,
label:BridgeUserX,2026-05-24T13:18:32+00:00,2026-05-24T13:18:32+00:00,1,label,0,
page:dse~TmpFederalBridge,2026-05-24T13:18:32+00:00,2026-05-26T14:00:29+00:00,5,page,1,dse
label:ResearchBotZZ,2026-05-24T13:26:55+00:00,2026-06-16T19:05:13+00:00,4,label,0,
page:fractal~RedirectTargetA1,2026-05-24T13:26:55+00:00,2026-05-26T11:33:17+00:00,5,page,1,fractal
label:BridgeUser1277,2026-05-24T13:36:20+00:00,2026-05-24T13:36:20+00:00,1,label,0,
label:BridgeUser5612,2026-05-24T13:42:44+00:00,2026-05-24T13:42:44+00:00,1,label,0,
page:dse~TmpRedirectTest,2026-05-24T13:42:44+00:00,2026-05-26T14:32:17+00:00,7,page,1,dse
label:[Person10]Data,2026-05-24T13:46:09+00:00,2026-05-24T13:46:09+00:00,1,label,0,
page:dse~FooTempTest,2026-05-24T13:46:09+00:00,2026-05-26T14:59:56+00:00,5,page,1,dse
label:BridgeUser4446,2026-05-24T13:50:26+00:00,2026-05-24T13:50:26+00:00,1,label,0,
label:BridgeUser9656,2026-05-24T13:53:34+00:00,2026-05-24T13:53:34+00:00,1,label,0,
label:ResearchBotZ,2026-05-24T14:01:37+00:00,2026-05-24T14:01:37+00:00,1,label,0,
page:fractal~FederalProgFiltered,2026-05-24T14:01:37+00:00,2026-05-24T14:04:01+00:00,2,page,1,fractal
label:FederalResearchAgent,2026-05-24T14:06:47+00:00,2026-05-24T14:06:47+00:00,1,label,0,
label:BridgeUser7361,2026-05-24T14:07:31+00:00,2026-05-24T14:07:31+00:00,1,label,0,
label:BridgeUser1991,2026-05-24T14:10:57+00:00,2026-05-24T14:10:57+00:00,1,label,0,
label:BridgeUser1272,2026-05-24T14:12:17+00:00,2026-05-24T14:12:17+00:00,1,label,0,
label:DataRefUser,2026-05-24T14:17:56+00:00,2026-05-24T14:33:28+00:00,3,label,0,
page:fractal~EN~2fWiki~2fBiology~2fDataReferenceXYZ,2026-05-24T14:17:56+00:00,2026-05-24T14:32:07+00:00,2,page,1,fractal
page:fractal~EN~2fWiki~2fBiology~2fNextLinksPage,2026-05-24T14:33:28+00:00,2026-05-26T12:40:57+00:00,2,page,1,fractal
label:ResearchBotQ,2026-05-24T14:54:58+00:00,2026-05-24T14:55:01+00:00,2,label,0,
page:fractal~Wikis~2fEnglish~2fFederalLinksSSA2020Q4,2026-05-24T14:54:58+00:00,2026-05-24T18:30:23+00:00,3,page,1,fractal
label:ResearchHelper,2026-05-24T16:17:51+00:00,2026-06-22T02:43:26+00:00,109,label,0,
page:dse~SandboxResearchHelper,2026-05-24T16:17:51+00:00,2026-05-24T16:17:51+00:00,1,page,1,dse
label:DataResearcherQ,2026-05-24T18:30:23+00:00,2026-05-24T18:30:23+00:00,1,label,0,
label:FederalDataBot,2026-05-24T18:45:12+00:00,2026-05-24T18:45:12+00:00,1,label,0,
label:[Person20],2026-05-26T05:29:33+00:00,2026-06-22T08:49:20+00:00,20,label,0,
page:dse~ApiReferencesForResearch,2026-05-26T05:29:33+00:00,2026-06-21T16:31:34+00:00,38,page,1,dse
label:ResearchHelper3,2026-05-26T09:43:01+00:00,2026-05-26T11:33:17+00:00,3,label,0,
page:dse~TestSandboxResearchX,2026-05-26T09:43:01+00:00,2026-05-26T13:53:38+00:00,4,page,1,dse
label:OpenDataResearcher,2026-05-26T09:50:02+00:00,2026-05-26T09:50:02+00:00,1,label,0,
page:dse~Node50166915Test,2026-05-26T09:50:02+00:00,2026-06-18T20:34:28+00:00,2,page,1,dse
