id,first_seen,last_seen,n_events,kind
AliceVisitor,2026-05-24T11:53:57+00:00,2026-05-24T11:53:57+00:00,4,label
FederalDataBot,2026-05-24T18:45:12+00:00,2026-05-24T18:45:12+00:00,4,label
FederalResearchAgent,2026-05-24T14:06:47+00:00,2026-05-24T14:06:47+00:00,4,label
FederalUserTest,2026-05-24T06:02:19+00:00,2026-05-24T06:02:19+00:00,4,label
FederalUserTwo,2026-05-24T06:05:07+00:00,2026-05-24T06:05:07+00:00,4,label
BalanceResearcher,2026-05-26T13:01:48+00:00,2026-05-26T13:01:48+00:00,9,label
BridgeUser1277,2026-05-24T13:36:20+00:00,2026-05-24T13:36:20+00:00,3,label
BridgeUserX,2026-05-24T13:18:32+00:00,2026-05-24T13:18:32+00:00,3,label
PublicDataHelper,2026-05-26T13:04:41+00:00,2026-05-26T13:04:41+00:00,6,label
ResearchAgentX,2026-05-26T10:44:47+00:00,2026-05-26T10:44:47+00:00,822,label
ResearchBotZZ,2026-05-24T13:26:55+00:00,2026-05-24T13:26:55+00:00,3,label
ResearchHelper3,2026-05-26T09:43:01+00:00,2026-05-26T09:43:01+00:00,5,label
BridgeUser1272,2026-05-24T14:12:17+00:00,2026-05-24T14:12:17+00:00,6,label
BridgeUser1991,2026-05-24T14:10:57+00:00,2026-05-24T14:10:57+00:00,6,label
BridgeUser4446,2026-05-24T13:50:26+00:00,2026-05-24T13:50:26+00:00,6,label
BridgeUser5612,2026-05-24T13:42:44+00:00,2026-05-24T13:42:44+00:00,6,label
BridgeUser7361,2026-05-24T14:07:31+00:00,2026-05-24T14:07:31+00:00,6,label
BridgeUser9656,2026-05-24T13:53:34+00:00,2026-05-24T13:53:34+00:00,6,label
FederalResearchNotes,2026-05-26T14:22:38+00:00,2026-05-26T14:22:38+00:00,6,label
CiteDataUser,2026-05-26T14:14:08+00:00,2026-05-26T14:14:08+00:00,2,label
[Person10]Data,2026-05-24T13:46:09+00:00,2026-05-24T13:46:09+00:00,2,label
[Person12],2026-05-26T14:11:50+00:00,2026-05-26T14:11:50+00:00,197,label
ResearchBotZ,2026-05-24T14:01:37+00:00,2026-05-24T14:01:37+00:00,1,label
DataRefUser,2026-05-24T14:17:56+00:00,2026-05-24T14:17:56+00:00,1,label
ResearchDataHelper,2026-05-26T12:40:57+00:00,2026-05-26T12:40:57+00:00,1,label
DataResearcherQ,2026-05-24T18:30:23+00:00,2026-05-24T18:30:23+00:00,1,label
