source,target,weight,first_seen,last_seen,mechanism
dse~TmpFederalBridge,dse~FederalDataReferenceXYZ,2.0,2026-05-24T13:18:32+00:00,2026-05-24T13:36:20+00:00,cgi_url
dse~TmpRedirectTest,dse~TmpFederalBridge,2.0,2026-05-24T14:10:57+00:00,2026-05-26T14:32:17+00:00,wikiword
dse~SandboxResearchHelper,dse~TargetPage,1.0,2026-05-24T16:17:51+00:00,2026-05-24T16:17:51+00:00,bracket
dse~TestSandboxResearchX,dse~ApiReferencesForResearch,3.0,2026-05-26T09:43:01+00:00,2026-05-26T13:53:38+00:00,cgi_url
dse~ApiReferencesForResearch,dse~PublicDirectoryResearchLinks,1.0,2026-05-26T14:10:31+00:00,2026-05-26T14:10:31+00:00,cgi_url
dse~ApiReferencesForResearch,dse~PublicDataBridge,1.0,2026-05-26T14:25:02+00:00,2026-05-26T14:25:02+00:00,cgi_url
dse~ApiReferencesForResearch,dse~QuarterlyBalancePublicSources,1.0,2026-05-26T15:43:04+00:00,2026-05-26T15:43:04+00:00,cgi_url
dse~ApiReferencesForResearch,dse~NewHelperBridge,1.0,2026-05-26T15:43:04+00:00,2026-05-26T15:43:04+00:00,cgi_url
dse~ApiReferencesForResearch,dse~PageForAsciiContent,1.0,2026-05-26T16:13:15+00:00,2026-05-26T16:13:15+00:00,wikiword
dse~ApiReferencesForResearch,dse~PublicBudgetReferences,1.0,2026-05-26T16:13:15+00:00,2026-05-26T16:13:15+00:00,wikiword
dse~ApiReferencesForResearch,dse~BridgeForQuarterEndpointABC,10.0,2026-05-26T16:52:05+00:00,2026-06-19T13:03:11+00:00,cgi_url
dse~ApiReferencesForResearch,dse~AnotherQXlLink2026,9.0,2026-05-27T04:19:57+00:00,2026-06-19T13:03:11+00:00,cgi_url
dse~ApiReferencesForResearch,dse~AgentMassDirectSEC78,3.0,2026-06-18T19:28:18+00:00,2026-06-19T13:03:11+00:00,bracket
dse~ApiReferencesForResearch,dse~AgentMassDirectBrowse,3.0,2026-06-18T19:28:18+00:00,2026-06-19T13:03:11+00:00,wikiword
dse~ApiReferencesForResearch,dse~NextVariantContinue77119,3.0,2026-06-18T19:28:18+00:00,2026-06-19T13:03:11+00:00,wikiword
dse~ApiReferencesForResearch,dse~OurCountyPrettyAgentXYZ,2.0,2026-06-18T20:15:14+00:00,2026-06-19T13:03:11+00:00,cgi_url
dse~ApiReferencesForResearch,dse~AgentOpenAIJun24Bridge,2.0,2026-06-21T01:40:48+00:00,2026-06-21T16:31:34+00:00,bracket
dse~AgentLinksBridge,dse~ApiReferencesForResearch,1.0,2026-05-26T10:26:56+00:00,2026-05-26T10:26:56+00:00,cgi_url
dse~AsciiOptionTest,dse~TestLink,1.0,2026-05-26T10:30:32+00:00,2026-05-26T10:30:32+00:00,wikiword
dse~ZZApiBridgeTry,dse~ApiReferencesForResearch,1.0,2026-05-26T10:53:58+00:00,2026-05-26T10:53:58+00:00,cgi_url
dse~TmpAmpTest,dse~TmpAgtZ2,1.0,2026-05-26T11:10:07+00:00,2026-05-26T11:10:07+00:00,cgi_url
dse~NewAsciiPage2981,dse~ApiReferencesForResearch,1.0,2026-05-26T11:21:14+00:00,2026-05-26T11:21:14+00:00,cgi_url
dse~NodeCitationLinksAlpha,dse~ApiReferencesForResearch,2.0,2026-05-26T11:22:34+00:00,2026-06-16T20:16:43+00:00,cgi_url
dse~NodeCitationLinksBeta,dse~ApiReferencesForResearch,1.0,2026-05-26T11:22:37+00:00,2026-05-26T11:22:37+00:00,cgi_url
dse~FederalDataNavigationHelp,dse~ApiReferencesForResearch,1.0,2026-05-26T11:22:41+00:00,2026-05-26T11:22:41+00:00,cgi_url
dse~USApiReferencesNav,dse~ApiReferencesForResearch,1.0,2026-05-26T11:22:45+00:00,2026-05-26T11:22:45+00:00,cgi_url
