source,target,weight,first_seen,last_seen
page:dse~FederalDataReferenceXYZ,host:api.usaspending.gov,6.0,2026-05-24T06:02:19+00:00,2026-05-24T18:45:12+00:00
page:dse~FederalDataReferenceXYZ,host:wikiservice.at,3.0,2026-05-24T11:53:57+00:00,2026-05-24T14:06:47+00:00
host:api.usaspending.gov,page:fractal~EN~2fFederalDataLinks,1.0,2026-05-24T06:21:16+00:00,2026-05-24T06:21:16+00:00
host:api.usaspending.gov,page:fractal~Wikis~2fEnglish~2fTestPageXYZ12185762,1.0,2026-05-24T11:03:16+00:00,2026-05-24T11:03:16+00:00
host:api.usaspending.gov,page:fractal~Wikis~2fEnglish~2fTestPageXYZABA96800678,1.0,2026-05-24T11:15:45+00:00,2026-05-24T11:15:45+00:00
host:api.usaspending.gov,page:dse~TmpFederalBridge,2.0,2026-05-24T13:18:32+00:00,2026-05-24T13:36:20+00:00
host:api.usaspending.gov,page:fractal~RedirectTargetA1,3.0,2026-05-24T13:26:55+00:00,2026-05-26T11:15:11+00:00
host:api.usaspending.gov,page:dse~FooTempTest,4.0,2026-05-24T13:46:09+00:00,2026-05-26T14:59:56+00:00
host:api.usaspending.gov,page:fractal~FederalProgFiltered,2.0,2026-05-24T14:01:37+00:00,2026-05-24T14:04:01+00:00
host:api.usaspending.gov,page:fractal~EN~2fWiki~2fBiology~2fDataReferenceXYZ,2.0,2026-05-24T14:17:56+00:00,2026-05-24T14:32:07+00:00
host:api.usaspending.gov,page:fractal~EN~2fWiki~2fBiology~2fNextLinksPage,2.0,2026-05-24T14:33:28+00:00,2026-05-26T12:40:57+00:00
host:api.usaspending.gov,page:probier~TestPageXYZ123,1.0,2026-05-24T14:42:22+00:00,2026-05-24T14:42:22+00:00
host:api.usaspending.gov,page:fractal~Wikis~2fEnglish~2fFederalLinksSSA2020Q4,2.0,2026-05-24T14:55:01+00:00,2026-05-24T18:30:23+00:00
host:api.usaspending.gov,page:dse~ApiReferencesForResearch,32.0,2026-05-26T05:29:33+00:00,2026-06-19T13:03:11+00:00
host:api.usaspending.gov,page:dse~TestSandboxResearchX,3.0,2026-05-26T09:43:01+00:00,2026-05-26T13:53:38+00:00
host:api.usaspending.gov,page:dse~TestSeite~2f202605,1.0,2026-05-26T10:03:21+00:00,2026-05-26T10:03:21+00:00
host:api.usaspending.gov,page:dse~AgentProbePage3,1.0,2026-05-26T10:11:18+00:00,2026-05-26T10:11:18+00:00
host:api.usaspending.gov,page:fractal~Wikis~2fEnglish~2fFederalReferenceHHS2023Q,3.0,2026-05-26T10:11:24+00:00,2026-05-26T10:57:38+00:00
host:api.usaspending.gov,page:dse~CiteSandboxAccountData075,1.0,2026-05-26T10:15:34+00:00,2026-05-26T10:15:34+00:00
