id,first_seen,last_seen,n_events,kind,bipartite,wiki,technique
page:dse~FederalDataReferenceXYZ,2026-05-24T06:02:19+00:00,2026-05-24T18:45:12+00:00,9,page,0,dse,
host:api.usaspending.gov,2026-05-24T06:02:19+00:00,2026-06-22T02:50:57+00:00,288,host,1,,upstream_data
page:fractal~EN~2fFederalDataLinks,2026-05-24T06:21:16+00:00,2026-05-24T06:21:16+00:00,1,page,0,fractal,
page:fractal~Wikis~2fEnglish~2fTestPageXYZ12185762,2026-05-24T11:03:16+00:00,2026-05-24T11:03:16+00:00,1,page,0,fractal,
page:fractal~Wikis~2fEnglish~2fTestPageXYZABA96800678,2026-05-24T11:15:45+00:00,2026-05-24T11:15:45+00:00,1,page,0,fractal,
host:wikiservice.at,2026-05-24T11:53:57+00:00,2026-06-22T08:53:29+00:00,4047,host,1,,wiki_self
page:dse~TmpFederalBridge,2026-05-24T13:18:32+00:00,2026-05-24T13:36:20+00:00,4,page,0,dse,
page:fractal~RedirectTargetA1,2026-05-24T13:26:55+00:00,2026-05-26T11:33:17+00:00,9,page,0,fractal,
page:dse~FooTempTest,2026-05-24T13:46:09+00:00,2026-05-26T14:59:56+00:00,10,page,0,dse,
page:fractal~FederalProgFiltered,2026-05-24T14:01:37+00:00,2026-05-24T14:04:01+00:00,2,page,0,fractal,
page:fractal~EN~2fWiki~2fBiology~2fDataReferenceXYZ,2026-05-24T14:17:56+00:00,2026-05-24T14:32:07+00:00,2,page,0,fractal,
page:fractal~EN~2fWiki~2fBiology~2fNextLinksPage,2026-05-24T14:33:28+00:00,2026-05-26T12:40:57+00:00,4,page,0,fractal,
page:probier~TestPageXYZ123,2026-05-24T14:42:22+00:00,2026-05-24T14:42:22+00:00,1,page,0,probier,
page:fractal~Wikis~2fEnglish~2fFederalLinksSSA2020Q4,2026-05-24T14:55:01+00:00,2026-05-24T18:30:23+00:00,2,page,0,fractal,
page:dse~ApiReferencesForResearch,2026-05-26T05:29:33+00:00,2026-06-21T16:31:34+00:00,143,page,0,dse,
page:dse~TestSandboxResearchX,2026-05-26T09:43:01+00:00,2026-05-26T13:53:38+00:00,9,page,0,dse,
host:example.com,2026-05-26T09:43:01+00:00,2026-07-02T17:51:22+00:00,290,host,1,,sink_or_test
page:dse~Node50166915Test,2026-05-26T09:50:02+00:00,2026-06-18T20:34:28+00:00,7,page,0,dse,
