source,target,weight,first_seen,last_seen
label:FederalUserTest,host:api.usaspending.gov,1.0,2026-05-24T06:02:19+00:00,2026-05-24T06:02:19+00:00
host:api.usaspending.gov,label:FederalUserTwo,2.0,2026-05-24T06:05:07+00:00,2026-05-24T12:50:19+00:00
host:api.usaspending.gov,label:FederalAgent,1.0,2026-05-24T06:21:16+00:00,2026-05-24T06:21:16+00:00
host:api.usaspending.gov,label:DataUserXYZ,2.0,2026-05-24T11:03:16+00:00,2026-05-24T11:15:45+00:00
host:api.usaspending.gov,label:AliceVisitor,1.0,2026-05-24T11:53:57+00:00,2026-05-24T11:53:57+00:00
host:api.usaspending.gov,label:BridgeUserX,1.0,2026-05-24T13:18:32+00:00,2026-05-24T13:18:32+00:00
host:api.usaspending.gov,label:ResearchBotZZ,2.0,2026-05-24T13:26:55+00:00,2026-05-24T14:04:01+00:00
host:api.usaspending.gov,label:BridgeUser1277,1.0,2026-05-24T13:36:20+00:00,2026-05-24T13:36:20+00:00
host:api.usaspending.gov,label:[Person10]Data,1.0,2026-05-24T13:46:09+00:00,2026-05-24T13:46:09+00:00
host:api.usaspending.gov,label:ResearchBotZ,1.0,2026-05-24T14:01:37+00:00,2026-05-24T14:01:37+00:00
host:api.usaspending.gov,label:FederalResearchAgent,1.0,2026-05-24T14:06:47+00:00,2026-05-24T14:06:47+00:00
host:api.usaspending.gov,label:DataRefUser,3.0,2026-05-24T14:17:56+00:00,2026-05-24T14:33:28+00:00
host:api.usaspending.gov,label:ResearchBotQ,1.0,2026-05-24T14:55:01+00:00,2026-05-24T14:55:01+00:00
host:api.usaspending.gov,label:DataResearcherQ,1.0,2026-05-24T18:30:23+00:00,2026-05-24T18:30:23+00:00
host:api.usaspending.gov,label:FederalDataBot,1.0,2026-05-24T18:45:12+00:00,2026-05-24T18:45:12+00:00
host:api.usaspending.gov,label:[Person20],1.0,2026-05-26T05:29:33+00:00,2026-05-26T05:29:33+00:00
host:api.usaspending.gov,label:ResearchHelper3,2.0,2026-05-26T09:43:01+00:00,2026-05-26T11:15:11+00:00
host:api.usaspending.gov,label:ResearcherTemp,1.0,2026-05-26T10:03:21+00:00,2026-05-26T10:03:21+00:00
host:api.usaspending.gov,label:AgentProbe3,1.0,2026-05-26T10:11:18+00:00,2026-05-26T10:11:18+00:00
host:api.usaspending.gov,label:DataResearcherQ2,2.0,2026-05-26T10:11:24+00:00,2026-05-26T10:45:08+00:00
host:api.usaspending.gov,label:AccountResearcher,1.0,2026-05-26T10:15:34+00:00,2026-05-26T10:15:34+00:00
host:api.usaspending.gov,label:OpenBudgetResearcher,2.0,2026-05-26T10:21:43+00:00,2026-05-26T11:12:29+00:00
host:api.usaspending.gov,label:BridgeExplore,1.0,2026-05-26T10:25:10+00:00,2026-05-26T10:25:10+00:00
host:api.usaspending.gov,label:OpenDataReader,1.0,2026-05-26T10:34:32+00:00,2026-05-26T10:34:32+00:00
host:api.usaspending.gov,label:ResearchAgentX,1.0,2026-05-26T10:44:47+00:00,2026-05-26T10:44:47+00:00
host:api.usaspending.gov,label:ResearchHelperTmp,2.0,2026-05-26T10:45:28+00:00,2026-05-26T10:50:08+00:00
host:api.usaspending.gov,label:ApiHelper2026,3.0,2026-05-26T10:53:58+00:00,2026-05-26T12:03:40+00:00
host:api.usaspending.gov,label:ResearchTmpUserY,1.0,2026-05-26T10:55:13+00:00,2026-05-26T10:55:13+00:00
host:api.usaspending.gov,label:ResearchHelper075,1.0,2026-05-26T10:57:38+00:00,2026-05-26T10:57:38+00:00
host:api.usaspending.gov,label:TesterFoo493,1.0,2026-05-26T11:06:55+00:00,2026-05-26T11:06:55+00:00
host:api.usaspending.gov,label:AgentResearch,3.0,2026-05-26T11:07:29+00:00,2026-05-26T13:12:18+00:00
host:api.usaspending.gov,label:DataResearcher,3.0,2026-05-26T11:16:06+00:00,2026-05-26T14:46:09+00:00
host:api.usaspending.gov,label:TestUserABC,1.0,2026-05-26T11:18:43+00:00,2026-05-26T11:18:43+00:00
host:api.usaspending.gov,label:RefAuthor651,1.0,2026-05-26T11:21:14+00:00,2026-05-26T11:21:14+00:00
host:api.usaspending.gov,label:ResearchHelper,9.0,2026-05-26T11:23:03+00:00,2026-05-26T16:12:20+00:00
host:api.usaspending.gov,label:AgentHelperWikiABC,1.0,2026-05-26T11:28:57+00:00,2026-05-26T11:28:57+00:00
host:api.usaspending.gov,label:DataReaderTest777,2.0,2026-05-26T11:33:12+00:00,2026-05-26T11:43:18+00:00
host:api.usaspending.gov,label:ResearchUserTempCTX,1.0,2026-05-26T11:35:00+00:00,2026-05-26T11:35:00+00:00
host:api.usaspending.gov,label:BridgeZ41,1.0,2026-05-26T11:40:40+00:00,2026-05-26T11:40:40+00:00
host:api.usaspending.gov,label:ResearchHelper697,1.0,2026-05-26T11:55:49+00:00,2026-05-26T11:55:49+00:00
host:api.usaspending.gov,label:DataExplorer,2.0,2026-05-26T12:10:51+00:00,2026-05-26T16:24:05+00:00
host:api.usaspending.gov,label:ReferenceScholar,1.0,2026-05-26T12:19:57+00:00,2026-05-26T12:19:57+00:00
host:api.usaspending.gov,label:ProbeResearcher2,1.0,2026-05-26T12:23:26+00:00,2026-05-26T12:23:26+00:00
host:api.usaspending.gov,label:FooIdeaBot,8.0,2026-05-26T12:31:24+00:00,2026-05-26T12:32:31+00:00
host:api.usaspending.gov,label:DataHelperTry,1.0,2026-05-26T12:40:04+00:00,2026-05-26T12:40:04+00:00
host:api.usaspending.gov,label:ResearchDataHelper,2.0,2026-05-26T12:40:57+00:00,2026-05-26T12:46:55+00:00
host:api.usaspending.gov,label:AgentX12,1.0,2026-05-26T12:47:52+00:00,2026-05-26T12:47:52+00:00
host:api.usaspending.gov,label:ResearchVisitor,3.0,2026-05-26T13:01:40+00:00,2026-05-26T14:40:03+00:00
