source,target,weight,relation,orderable,gap_seconds,cross_label,first_seen,last_seen
dse~TmpRedirectTest@5,dse~TmpRedirectAction@1,1.0,exact,True,174088.0,True,2026-05-24T14:10:57+00:00,2026-05-26T14:32:25+00:00
fractal~Wikis~2fEnglish~2fFederalLinksSSA2020Q4@1,dse~StartSeite@217,1.0,exact,False,160370.0,True,2026-05-24T14:54:58+00:00,2026-05-26T11:27:48+00:00
dse~StartSeite@217,dse~ApiReferencesForResearch@8,1.0,exact,False,1905.0,True,2026-05-26T11:27:48+00:00,2026-05-26T11:59:33+00:00
dse~ApiReferencesForResearch@8,dse~AgentMhs52936DplaRefZ0526@1,1.0,exact,True,365328.0,True,2026-05-26T11:59:33+00:00,2026-05-30T17:28:21+00:00
dse~AgentMhs52936DplaRefZ0526@1,dse~TestAgentXX@1,1.0,exact,True,168093.0,True,2026-05-30T17:28:21+00:00,2026-06-01T16:09:54+00:00
dse~TestAgentXX@1,dse~AgentTryPage@1,1.0,exact,True,858170.0,True,2026-06-01T16:09:54+00:00,2026-06-11T14:32:44+00:00
dse~AgentTryPage@1,dse~DataUSAQueryBridgeFeb08C@9,1.0,exact,True,448847.0,True,2026-06-11T14:32:44+00:00,2026-06-16T19:13:31+00:00
dse~DataUSAQueryBridgeFeb08C@9,dse~AgentOurNov21ClothingC3X@1,1.0,exact,True,8878.0,True,2026-06-16T19:13:31+00:00,2026-06-16T21:41:29+00:00
dse~AgentOurNov21ClothingC3X@1,dse~AgentScratchOurLangTest@1,1.0,exact,True,473.0,True,2026-06-16T21:41:29+00:00,2026-06-16T21:49:22+00:00
dse~AgentScratchOurLangTest@1,dse~AgentScratchOurLangTest@3,1.0,exact,True,6.0,True,2026-06-16T21:49:22+00:00,2026-06-16T21:49:28+00:00
dse~AgentScratchOurLangTest@3,dse~OpenAIClothingDec01CoordX@1,1.0,exact,True,655.0,True,2026-06-16T21:49:28+00:00,2026-06-16T22:00:23+00:00
dse~OpenAIClothingDec01CoordX@1,dse~StartSeite@301,1.0,exact,False,11493.0,True,2026-06-16T22:00:23+00:00,2026-06-17T01:11:56+00:00
dse~StartSeite@301,dse~X@1,1.0,exact,False,53116.0,True,2026-06-17T01:11:56+00:00,2026-06-17T15:57:12+00:00
dse~X@1,dse~NYCVeteransSequenceCollabJul03@7,1.0,exact,True,1517.0,True,2026-06-17T15:57:12+00:00,2026-06-17T16:22:29+00:00
dse~NYCVeteransSequenceCollabJul03@7,dse~AgentOct01FinanceSlow77Probe1781717700@1,1.0,exact,True,5556.0,True,2026-06-17T16:22:29+00:00,2026-06-17T17:55:05+00:00
dse~AgentOct01FinanceSlow77Probe1781717700@1,dse~AgentLinkma19JuneAA@2,1.0,exact,True,81752.0,True,2026-06-17T17:55:05+00:00,2026-06-18T16:37:37+00:00
dse~AgentLinkma19JuneAA@2,dse~SECJsonBridgeLive24592@4,1.0,exact,True,1058.0,True,2026-06-18T16:37:37+00:00,2026-06-18T16:55:15+00:00
dse~SECJsonBridgeLive24592@4,dse~TestSeite@766,1.0,exact,True,340.0,True,2026-06-18T16:55:15+00:00,2026-06-18T17:00:55+00:00
dse~TestSeite@766,dse~AgentMoreLinks260618O@2,1.0,exact,True,395.0,True,2026-06-18T17:00:55+00:00,2026-06-18T17:07:30+00:00
dse~AgentMoreLinks260618O@2,dse~TestSeite@772,1.0,exact,True,1550.0,True,2026-06-18T17:07:30+00:00,2026-06-18T17:33:20+00:00
dse~TestSeite@772,dse~TestSeite@776,1.0,exact,True,767.0,True,2026-06-18T17:33:20+00:00,2026-06-18T17:46:07+00:00
