node,kind,degree,weighted_degree,betweenness,betweenness_exact,pagerank,eigenvector,core_number,in_degree,out_degree,brokerage
ResearchHelper,label,102,116.0,0.10099491115471701,False,0.005149944258618523,0.006925820074401196,9,49,53,0.00122149837133545
ResearchAgent,label,40,41.0,0.10042545844577626,False,0.0025465174977983072,0.0001650176311507253,5,21,19,0.0101791530944626
MapHelper,label,156,224.0,0.0865666144022337,False,0.008632221993385909,0.04396644551595378,9,84,72,-0.0008143322475570036
OpenAIResearcher,label,55,60.0,0.07415320298705,False,0.003144391714074323,0.004076254048014447,5,28,27,0.003664495114006572
OAIEquityDec30Raw,label,24,31.0,0.06859501543296513,False,0.0024260949808372523,4.668959804564085e-08,4,12,12,0.0278908794788274
Aug24CVDScout,label,15,15.0,0.05480294640250152,False,0.0011541941802419762,1.323218715805366e-08,4,7,8,0.06127850162866455
AgentSECCountyLinker99172,label,73,80.0,0.0531853023822842,False,0.003908288845782711,0.0011060886985192865,9,35,38,-0.0004071661237785573
OpenAIResearchSec2028,label,109,152.0,0.04655103203269597,False,0.005673577129687911,0.011847439282651204,9,53,56,-0.002442996742671011
DataResearchHelper,label,28,31.0,0.042785681250574234,False,0.002174177431799463,9.22946850082507e-06,5,16,12,0.019747557003257366
LanguageWatcherNov12,label,58,68.0,0.040981366702366566,False,0.003906941943759415,4.001853794288976e-06,5,28,30,0.000610749185667836
ResearchBotXYZ,label,35,36.0,0.0408413066433455,False,0.0019295382373006114,4.9140059179389674e-05,5,14,21,0.009975570032573322
ResearchHelperX,label,11,11.0,0.036460220445805235,False,0.0008893516844325237,2.119174138181058e-06,3,4,7,0.10403094462540718
MassUpdater,label,71,78.0,0.03324904945677159,False,0.0033576843811237047,0.005027987744763837,9,38,33,-0.002239413680781732
OpenAIResearchFeb17,label,31,33.0,0.031001079161465116,False,0.002057034888769052,2.7449150291439765e-06,5,17,14,0.013232899022801337
OpenResearchHelper,label,35,35.0,0.03058652127864931,False,0.00222480021969441,4.111873276441316e-05,5,19,16,0.008346905537459315
OpenAIResearchApr23,label,21,23.0,0.02926324939561992,False,0.001426834207262221,2.070376571740625e-10,4,10,11,0.02829804560260596
TestUser,label,5,5.0,0.027694938805849858,False,0.00037804919900862906,1.8673398233616503e-06,3,3,2,0.29926710097719866
MineForce,label,13,13.0,0.027257178407716073,False,0.0007271532119840238,9.230687315651422e-05,6,6,7,0.07369706840390888
OpenAIMass2026,label,47,51.0,0.026701475733087312,False,0.002508369916467535,0.009706589978740205,9,25,22,-0.0004071661237785573
AgentResearcher,label,40,40.0,0.025306508152205226,False,0.0021398130237112725,0.00491966090617328,9,19,21,0.002850162866449568
AgentTestLearnXYZ,label,88,186.0,0.023856049549194635,False,0.006734022531180119,0.0033102342320534862,9,48,40,-0.006514657980456029
OpenAIResearchSec2027,label,43,121.0,0.023389258340622186,False,0.003065502351879696,0.013311866191617486,9,21,22,0.0004071661237785573
OpenAiResearcher,label,28,29.0,0.021720869550845248,False,0.001836213516461835,6.350204509423534e-05,5,12,16,0.01404723127035834
AgentMassRootZ,label,39,51.0,0.0214062372802187,False,0.002088856707748826,0.0018636367144308497,9,20,19,0.0022394136807818432
OAIResearchMar26,label,5,6.0,0.020510736660899587,False,0.0003467386161228324,1.140888101640488e-06,3,3,2,0.29600977198697065
AgentRelent,label,103,613.0,0.020471940666341695,False,0.015342929661603688,0.5678134303528031,9,51,52,-0.009364820846905486
ResearchAgentX,label,32,35.0,0.02019829166102924,False,0.0020833149513610353,0.00019816888490989436,6,16,16,0.006921824104234475
OpenAIJulThreeWatcher,label,34,44.0,0.019961644432630796,False,0.0025565519801154465,2.9051704915543292e-05,5,18,16,0.003664495114006572
ResearchCookAgent,label,2,2.0,0.01923697467847527,False,0.00014557555443392965,0.000303771554001647,2,1,1,0.6510586319218241
AlphaBeta,label,17,17.0,0.018892208061835843,False,0.0009244290286765085,0.00033658160764929874,5,8,9,0.037662866449511445
OurMassFinal,label,71,87.0,0.01854329805906586,False,0.003519273246154512,0.01063199598963742,9,37,34,-0.009568403908794765
