node,kind,degree,weighted_degree,betweenness,betweenness_exact,pagerank,eigenvector,core_number,in_degree,out_degree,brokerage
dse~WillkommenImWiki,page,315,3889.0,0.09129322501299869,False,0.007986460987262039,0.7068127525044394,6,39,276,0.0
dse~QuarterlyBalancePublicSources,page,18,78.0,0.03647826252595248,False,0.004834674761272974,0.0016989835287706974,5,6,12,0.015846257585974355
dse~ApiReferencesForResearch,page,111,171.0,0.03316586730285246,False,0.031115895192468046,0.001153043019530537,4,98,13,0.0
dse~StartSeite,page,129,967.0,0.03106634195096235,False,0.0029055280956274228,0.029291875258298336,6,7,122,-0.0013486176668914274
dse~AgentPureGatewayJune19QQQ,page,33,62.0,0.01722589393389763,False,0.009759057849267372,0.00802434904190419,4,30,3,0.0020229265003371966
dse~AgentNextConvJuneAB,page,16,117.0,0.016047970202002892,False,0.0016804275234755862,0.11608250350563183,5,7,9,0.016857720836142898
dse~AgentTempMineLemino4477Q,page,20,225.0,0.01603490542956669,False,0.0029315315539132536,0.0023298460912911873,5,7,13,0.01078894133513153
dse~AgentOwnSec88221,page,13,354.0,0.013380805513789973,False,0.0030684707055398798,0.010931618167171147,4,3,10,0.02933243425488874
dse~AgentOurLinksSecMA2026,page,22,63.0,0.010639513388655467,False,0.0016610828946214244,0.0031237093116131937,6,13,9,0.006068779501011479
dse~AgentNextJoinedJuneBA,page,15,53.0,0.010626366601238042,False,0.002898649083399373,0.0037079055420014347,5,8,7,0.017532029669588667
dse~OAIFlatheadBridgeTestMay24X,page,29,147.0,0.0099775642835044,False,0.0009431501707395125,0.0028445995224288265,6,6,23,-0.0006743088334456582
dse~AgentTestZambeziaNewPageXYZ,page,17,53.0,0.009339395445485966,False,0.0015307173755793897,0.0004760638703063608,5,9,8,0.010451786918408645
dse~TestSeite,page,54,165.0,0.007786849247691622,False,0.0010991447894524264,0.021808882687021205,5,9,45,-0.006068779501011368
dse~AgentLinkma20JuneAA,page,42,117.0,0.00617678818418581,False,0.0014133591603070763,0.018412372122552135,6,14,28,-0.0053944706675657095
dse~AgentLanguageProxyBridge2216,page,17,40.0,0.005754390721770666,False,0.0016413831087021538,0.0009402948607935915,4,9,8,0.008428860418071449
dse~AgentOfficialMassShortJun20X,page,5,5.0,0.00547586677874938,False,0.0007244136096274635,0.0003285127083090464,5,4,1,0.13452461227242074
dse~AgentOpenAIDataUSAHubMay13X7,page,32,64.0,0.005238025003416692,False,0.0005607839249793748,0.000123960181419613,2,2,30,-0.0053944706675658205
dse~AgentTempOpenAIx,page,9,10.0,0.005029372045914921,False,0.0020723066300048047,1.7885692858369747e-05,4,8,1,0.05394470667565743
dse~RecentChanges,page,21,78.0,0.004945620263172993,False,0.001408623821346139,4.624044775427012e-05,4,6,15,0.0013486176668914274
