time,nodes,edges,n_communities,modularity,largest_community
2026-05-24 00:00:00+00:00,17,12,5,0.6863905325443788,6
2026-05-26 00:00:00+00:00,89,87,16,0.7696952908587258,13
2026-05-27 00:00:00+00:00,107,102,19,0.8149906663420177,13
2026-05-28 00:00:00+00:00,135,126,26,0.8311526816608998,13
2026-05-29 00:00:00+00:00,162,152,31,0.8364070909706803,17
2026-05-30 00:00:00+00:00,174,164,30,0.8350040816326529,17
2026-05-31 00:00:00+00:00,177,167,30,0.8357846231536424,17
2026-06-01 00:00:00+00:00,198,182,38,0.8558560952279733,24
2026-06-02 00:00:00+00:00,200,183,38,0.8569888231426688,24
2026-06-04 00:00:00+00:00,201,184,39,0.8579498125780918,24
2026-06-05 00:00:00+00:00,202,185,37,0.8537194980545746,17
2026-06-07 00:00:00+00:00,205,187,39,0.8610641145425622,24
2026-06-08 00:00:00+00:00,207,188,40,0.8620999999999996,24
2026-06-09 00:00:00+00:00,208,189,40,0.8574540234152618,17
2026-06-11 00:00:00+00:00,246,245,41,0.8420488165680468,33
2026-06-16 00:00:00+00:00,843,1559,55,0.726510342122539,121
2026-06-17 00:00:00+00:00,1099,2152,66,0.6948248141241812,124
2026-06-18 00:00:00+00:00,1877,4840,64,0.6564447314956199,370
2026-06-19 00:00:00+00:00,1977,5031,76,0.6649367808783679,506
2026-06-20 00:00:00+00:00,2123,5311,81,0.6826252110740134,522
2026-06-21 00:00:00+00:00,2285,5607,89,0.7001434708393548,610
2026-06-22 00:00:00+00:00,2452,5932,92,0.7011886030368525,615
2026-07-02 00:00:00+00:00,2456,5935,93,0.7001213738907683,632
