motif,n_labels,n_pages,n_revisions,first_use,median_adoption,last_use
agent,1665,1969,4263,2026-05-26 10:11:18+00:00,2026-06-18 16:38:16+00:00,2026-07-01 10:29:45+00:00
bridge,609,457,968,2026-05-24 13:18:32+00:00,2026-06-18 18:02:28+00:00,2026-07-02 16:57:43+00:00
openai,563,349,964,2026-06-01 14:08:44+00:00,2026-06-18 16:10:37+00:00,2026-06-22 09:00:26+00:00
epoch_suffix,263,232,366,2026-05-27 07:12:12+00:00,2026-06-16 22:09:13+00:00,2026-06-22 08:43:12+00:00
mass,263,144,451,2026-06-16 07:29:53+00:00,2026-06-18 19:07:15+00:00,2026-06-22 03:10:20+00:00
unique,234,154,338,2026-05-26 13:04:15+00:00,2026-06-18 18:58:35.500000+00:00,2026-06-22 09:01:39+00:00
relay,224,40,370,2026-06-16 10:29:50+00:00,2026-06-16 20:47:23+00:00,2026-06-22 01:02:24+00:00
proxy,83,41,114,2026-05-28 13:29:00+00:00,2026-06-18 17:39:55+00:00,2026-06-21 21:33:38+00:00
zzz,79,16,119,2026-05-26 14:19:03+00:00,2026-06-18 19:22:49+00:00,2026-06-22 08:40:20+00:00
fresh,76,53,93,2026-05-26 16:25:16+00:00,2026-06-18 18:59:20.500000+00:00,2026-06-22 03:00:58+00:00
gateway,55,10,72,2026-05-26 12:03:40+00:00,2026-06-18 19:40:26+00:00,2026-06-22 02:53:57+00:00
poke,19,15,25,2026-06-18 20:02:57+00:00,2026-06-18 20:25:38+00:00,2026-06-18 20:43:02+00:00
chain,12,9,17,2026-06-18 20:05:43+00:00,2026-06-18 20:13:55+00:00,2026-06-18 20:54:47+00:00
persist,1,1,1,2026-06-22 08:12:03+00:00,2026-06-22 08:12:03+00:00,2026-06-22 08:12:03+00:00
