time,nodes,unique_edges,components,giant,giant_fraction,mean_degree
2026-05-24 06:00:00+00:00,2,1,1,2,1.0,1.0
2026-05-24 11:00:00+00:00,3,2,1,3,1.0,1.3333333333333333
2026-05-24 12:00:00+00:00,3,2,1,3,1.0,1.3333333333333333
2026-05-24 13:00:00+00:00,8,5,3,3,0.375,1.25
2026-05-24 14:00:00+00:00,14,10,4,6,0.42857142857142855,1.4285714285714286
2026-05-24 18:00:00+00:00,17,12,5,6,0.35294117647058826,1.411764705882353
2026-05-26 10:00:00+00:00,23,16,7,6,0.2608695652173913,1.391304347826087
2026-05-26 11:00:00+00:00,30,23,8,6,0.2,1.5333333333333334
2026-05-26 13:00:00+00:00,38,30,9,10,0.2631578947368421,1.5789473684210527
2026-05-26 14:00:00+00:00,50,41,10,19,0.38,1.64
2026-05-26 15:00:00+00:00,60,48,13,22,0.36666666666666664,1.6
2026-05-26 16:00:00+00:00,88,86,11,59,0.6704545454545454,1.9545454545454546
2026-05-26 17:00:00+00:00,89,87,11,60,0.6741573033707865,1.9550561797752808
2026-05-27 01:00:00+00:00,91,88,12,60,0.6593406593406593,1.934065934065934
2026-05-27 02:00:00+00:00,91,89,11,62,0.6813186813186813,1.956043956043956
2026-05-27 06:00:00+00:00,94,91,12,62,0.6595744680851063,1.9361702127659575
2026-05-27 07:00:00+00:00,99,95,13,62,0.6262626262626263,1.9191919191919191
2026-05-27 08:00:00+00:00,105,101,13,62,0.5904761904761905,1.9238095238095239
2026-05-27 12:00:00+00:00,107,102,14,62,0.5794392523364486,1.9065420560747663
2026-05-28 00:00:00+00:00,108,103,14,63,0.5833333333333334,1.9074074074074074
2026-05-28 07:00:00+00:00,110,104,15,63,0.5727272727272728,1.8909090909090909
2026-05-28 12:00:00+00:00,113,106,16,63,0.5575221238938053,1.8761061946902655
2026-05-28 13:00:00+00:00,121,114,16,81,0.6694214876033058,1.884297520661157
2026-05-28 14:00:00+00:00,124,117,16,84,0.6774193548387096,1.8870967741935485
2026-05-28 15:00:00+00:00,132,124,17,88,0.6666666666666666,1.878787878787879
2026-05-28 16:00:00+00:00,134,125,18,88,0.6567164179104478,1.8656716417910448
2026-05-28 18:00:00+00:00,135,126,18,89,0.6592592592592592,1.8666666666666667
2026-05-29 21:00:00+00:00,137,128,18,91,0.6642335766423357,1.8686131386861313
2026-05-29 22:00:00+00:00,147,141,18,98,0.6666666666666666,1.9183673469387754
2026-05-29 23:00:00+00:00,162,152,22,104,0.6419753086419753,1.876543209876543
2026-05-30 17:00:00+00:00,164,155,21,108,0.6585365853658537,1.8902439024390243
2026-05-30 20:00:00+00:00,169,158,23,109,0.6449704142011834,1.8698224852071006
2026-05-30 21:00:00+00:00,171,161,23,109,0.6374269005847953,1.8830409356725146
2026-05-30 22:00:00+00:00,172,162,23,109,0.6337209302325582,1.8837209302325582
2026-05-30 23:00:00+00:00,174,164,23,112,0.6436781609195402,1.8850574712643677
2026-05-31 00:00:00+00:00,177,167,23,115,0.6497175141242938,1.887005649717514
2026-06-01 03:00:00+00:00,179,168,24,115,0.6424581005586593,1.8770949720670391
2026-06-01 12:00:00+00:00,181,169,25,115,0.6353591160220995,1.867403314917127
2026-06-01 13:00:00+00:00,183,170,26,115,0.6284153005464481,1.8579234972677596
2026-06-01 14:00:00+00:00,194,179,28,118,0.6082474226804123,1.8453608247422681
2026-06-01 15:00:00+00:00,198,182,29,119,0.601010101010101,1.8383838383838385
2026-06-02 09:00:00+00:00,200,183,30,119,0.595,1.83
2026-06-04 18:00:00+00:00,201,184,30,119,0.5920398009950248,1.8308457711442787
2026-06-05 02:00:00+00:00,202,185,30,119,0.5891089108910891,1.8316831683168318
2026-06-07 05:00:00+00:00,204,186,31,119,0.5833333333333334,1.8235294117647058
