group,hours,survival
dse,0,1.0
dse,6,0.9787451984635083
dse,12,0.9749039692701664
dse,18,0.972855313700384
dse,24,0.9613316261203584
dse,30,0.9485275288092189
dse,36,0.9423815620998719
dse,42,0.9354673495518565
dse,48,0.9354673495518565
dse,54,0.9334186939820742
dse,60,0.9321382842509603
dse,66,0.9288092189500641
dse,72,0.925224071702945
dse,78,0.9160051216389244
dse,84,0.9144686299615876
dse,90,0.9134443021766965
dse,96,0.9129321382842509
dse,102,0.9129321382842509
dse,108,0.8842509603072983
dse,114,0.8775928297055058
dse,120,0.8627400768245839
dse,126,0.8622279129321383
dse,132,0.8622279129321383
dse,138,0.8617157490396927
dse,144,0.860179257362356
dse,150,0.858898847631242
dse,156,0.8583866837387965
dse,162,0.8453265044814341
dse,168,0.8445582586427657
dse,174,0.843021766965429
dse,180,0.8425096030729834
dse,186,0.8414852752880922
dse,192,0.8402048655569783
dse,198,0.8396927016645327
dse,204,0.8215108834827145
dse,210,0.8112676056338028
dse,216,0.7915492957746479
dse,222,0.7836107554417414
dse,228,0.7697823303457106
dse,234,0.7559539052496799
dse,240,0.731370038412292
dse,246,0.7147247119078105
dse,252,0.712932138284251
dse,258,0.712932138284251
dse,264,0.7126760563380281
dse,270,0.7121638924455825
dse,276,0.7083226632522407
dse,282,0.7052496798975671
dse,288,0.6960307298335467
dse,294,0.6862996158770807
dse,300,0.6857874519846351
dse,306,0.682202304737516
dse,312,0.6368758002560819
dse,318,0.6261203585147247
dse,324,0.6261203585147247
dse,330,0.6261203585147247
dse,336,0.6215108834827144
dse,342,0.5974391805377721
dse,348,0.5933418693982074
dse,354,0.587708066581306
dse,360,0.5818181818181818
dse,366,0.569270166453265
dse,372,0.569270166453265
dse,378,0.5690140845070422
dse,384,0.5590268886043533
dse,390,0.5541613316261202
dse,396,0.5541613316261202
dse,402,0.5364916773367476
dse,408,0.5282970550576183
dse,414,0.500384122919334
dse,420,0.500384122919334
dse,426,0.4985915492957745
dse,432,0.48348271446862984
dse,438,0.4811779769526247
dse,444,0.4809218950064019
dse,450,0.4696542893725991
dse,456,0.45121638924455815
dse,462,0.4463508322663251
dse,468,0.4450704225352112
dse,474,0.44430217669654276
dse,480,0.44199743918053763
dse,486,0.4394366197183097
dse,492,0.4376440460947502
dse,498,0.4350832266325223
dse,504,0.3743918053777208
dse,510,0.3580025608194622
dse,516,0.33469910371318823
dse,522,0.3211267605633803
dse,528,0.3183098591549296
dse,534,0.30960307298335465
dse,540,0.30447719429157727
dse,546,0.29293425095280645
dse,552,0.2857519750975713
dse,558,0.2852389553936259
dse,564,0.28139130761403564
dse,570,0.27728714998247267
dse,576,0.27215695294301895
dse,582,0.24830153670955923
dse,588,0.24753200715364118
dse,594,0.24727549730166848
dse,600,0.23342396529514348
dse,606,0.2121336475814106
dse,612,0.21162062787746522
dse,618,0.20418184217025734
dse,624,0.18360936436972763
dse,630,0.16375273367243967
dse,636,0.16168970710648767
dse,642,0.1503430609937517
dse,648,0.11346646112735978
dse,654,0.09747800524123182
dse,660,0.09077316890188783
dse,666,0.08637674761604142
dse,672,0.08327339141426748
dse,678,0.07185897016122147
dse,684,0.015824538555359244
dse,690,0.015824538555359244
dse,696,0.015305701225675334
