token,n_labels,first_use,last_use,span_hours,labels_per_day
links,728,2026-05-24 13:46:09+00:00,2026-07-02 15:51:49+00:00,938.0944444444444,18.6249903764724
update,623,2026-05-26 10:44:47+00:00,2026-06-22 08:50:27+00:00,646.0944444444444,23.142127483941977
coordination,560,2026-06-16 09:33:48+00:00,2026-06-21 22:04:24+00:00,132.51,101.42630744849447
research,516,2026-05-26 11:33:12+00:00,2026-07-02 15:57:44+00:00,892.4088888888889,13.877046894298577
test,499,2026-05-24 13:18:32+00:00,2026-06-22 08:58:48+00:00,691.6711111111111,17.314587536786913
add,467,2026-05-24 18:30:23+00:00,2026-07-02 16:57:43+00:00,934.4555555555555,11.994149891202245
live,413,2026-06-16 10:50:12+00:00,2026-06-21 22:54:58+00:00,132.07944444444445,75.04574267170852
link,405,2026-05-24 11:53:57+00:00,2026-07-02 16:57:43+00:00,941.0627777777778,10.328747698376482
cohort,349,2026-06-16 10:45:10+00:00,2026-06-22 01:51:43+00:00,135.10916666666665,61.994313240527724
bridge,325,2026-05-26 10:25:10+00:00,2026-07-02 16:46:05+00:00,894.3486111111112,8.721431333481382
data,300,2026-05-24 13:46:09+00:00,2026-07-02 16:14:56+00:00,938.4797222222222,7.671982494146118
timing,265,2026-06-16 09:40:38+00:00,2026-06-21 23:23:16+00:00,133.71055555555554,47.56542947245086
api,253,2026-05-26 14:38:28+00:00,2026-07-02 16:57:43+00:00,890.3208333333333,6.820013384688104
append,210,2026-05-28 13:36:47+00:00,2026-07-02 17:24:40+00:00,843.7980555555556,5.9729931431065815
sec,155,2026-06-18 15:19:41+00:00,2026-06-18 21:19:59+00:00,6.005,619.4837635303913
confirmed,149,2026-06-16 19:23:15+00:00,2026-06-21 22:49:04+00:00,123.43027777777777,28.9718216987098
sequence,148,2026-05-28 14:00:08+00:00,2026-06-21 20:14:46+00:00,582.2438888888889,6.100536335002801
public,147,2026-05-24 14:06:47+00:00,2026-07-01 00:06:03+00:00,897.9877777777778,3.9287839849342174
reference,142,2026-05-24 06:21:16+00:00,2026-06-22 08:56:19+00:00,698.5841666666666,4.878438651510615
get,128,2026-05-26 10:34:32+00:00,2026-06-22 08:48:14+00:00,646.2283333333334,4.75373771396591
status,123,2026-06-16 11:29:57+00:00,2026-06-22 08:51:31+00:00,141.35944444444445,20.882934363541327
request,120,2026-06-16 09:27:10+00:00,2026-06-22 09:07:18+00:00,143.6688888888889,20.04609364124298
query,117,2026-05-30 22:49:42+00:00,2026-07-02 16:45:51+00:00,785.9358333333333,3.5728107574515735
relay,114,2026-06-16 11:00:08+00:00,2026-06-21 23:48:12+00:00,132.8011111111111,20.60223726374445
save,109,2026-05-26 10:34:32+00:00,2026-06-22 08:48:14+00:00,646.2283333333334,4.048104772049095
